original,Date,Open,High,Low,Close,Adj Close,Volume
20140319,2014-03-19,16.9,17.4,16.9,17.4,13.2095,5624790
20140320,2014-03-20,17.5,18,17.5,17.7,13.4372,3325420
20140321,2014-03-21,17.5,17.8,17.5,17.5,13.2854,1236010
20140324,2014-03-24,17.7,18,17.6,17.6,13.3613,2498010
20140325,2014-03-25,17.7,17.7,17.2,17.2,13.0576,2051430
20140326,2014-03-26,17.3,17.3,16.7,16.8,12.754,2030920
20140327,2014-03-27,16.9,16.9,16.7,16.8,12.754,1026180
20140328,2014-03-28,16.8,17,16.8,17,12.9058,713160
20140331,2014-03-31,17.1,17.1,16.8,16.8,12.754,831760
20140401,2014-04-01,16.9,16.9,16.6,16.7,12.6781,1701600
20140402,2014-04-02,16.7,16.8,16.5,16.7,12.6781,1217110
20140403,2014-04-03,16.7,16.9,16.6,16.8,12.754,519700
20140404,2014-04-04,16.9,16.9,16.7,16.9,12.8299,608360
20140407,2014-04-07,16.8,16.9,16.7,16.8,12.754,441790
20140408,2014-04-08,16.8,16.9,16.7,16.7,12.6781,515610
20140410,2014-04-10,16.7,16.8,16.7,16.7,12.6781,485550
20140411,2014-04-11,16.6,16.7,16.5,16.6,12.6021,670380
20140414,2014-04-14,16.7,16.8,16.6,16.7,12.6781,414100
